site,dir_dec,dir_inc,dir_alpha95,dir_n_samples,lat,lon,dir_k,vgp_lat,vgp_lon,dir_comp_name
B1,233.7,-74.6,12.7,5,44.95,-78.44,54,,,AR
B2,267.2,-57.2,,2,44.95,-78.44,,,,AR
B5,308.1,-64.2,,1,44.95,-78.44,,,,AR
B8,288,-66.1,,1,44.95,-78.44,,,,AR
B9,227.7,-75.1,,1,44.95,-78.44,,,,AR
B12,212.4,-71.7,5.9,5,44.95,-78.44,168,,,AR
B14,269.5,-62.3,16.4,3,44.95,-78.44,58,,,AR
D1,253.7,-67.6,9.7,3,44.95,-78.44,163,,,AR
D2,279.8,-69.9,13.8,3,44.95,-78.44,81,,,AR
D4,256.9,-72.5,,1,44.95,-78.44,,,,AR
D5,165.6,-83.3,19.4,4,44.95,-78.44,23,,,AR
D6,266,-72,6.3,4,44.95,-78.44,214,,,AR
D11,288.7,-68.9,,2,44.95,-78.44,,,,AR
G3,344.1,-66.2,12,3,44.95,-78.44,107,,,AR
G4,293.2,-67.4,8,4,44.95,-78.44,132,,,B
B2,315,16.1,12.9,3,44.95,-78.44,379,,,B
B5,271,-3.7,18.7,3,44.95,-78.44,44,,,B
B5,319,-10.4,7.8,3,44.95,-78.44,254,,,B
B5,304.7,13.8,10,3,44.95,-78.44,153,,,B
B7,318.6,10.7,21.9,3,44.95,-78.44,33,,,B
B10,295.1,6.6,9.7,3,44.95,-78.44,163,,,B
B11,285.2,31.6,8.7,3,44.95,-78.44,201,,,B
D2,262.1,-1,22.7,3,44.95,-78.44,31,,,B
G3,328.8,47.7,9,3,44.95,-78.44,189,,,B
G3,306.3,-13.7,19.2,3,44.95,-78.44,42,,,B
G27,304,8,19.6,3,44.95,-78.44,41,,,B
G4,94.1,43.2,5.9,3,44.95,-78.44,425,,,AN
G16,127,29.9,2.9,3,44.95,-78.44,1779,,,AN
G16,121.6,26.8,,2,44.95,-78.44,,,,AN
G19,88.9,38,7.9,3,44.95,-78.44,243,,,AN
G20,101.1,42.4,15.6,3,44.95,-78.44,64,,,AN
G20,105.5,34.1,8.1,3,44.95,-78.44,232,,,AN
G21,105.2,34.8,4,3,44.95,-78.44,542,,,AN
G21,102,34.4,4.4,3,44.95,-78.44,437,,,AN
G22,100.2,27.3,9.7,3,44.95,-78.44,161,,,AN
G22,105.3,31.4,6,4,44.95,-78.44,231,,,AN