Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References
G14-4,995.8,8,8,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
G21-113,971,8,8,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.84,-78.31,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
G16-25,998,7,7,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,44.84,-78.31,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
B12-415,988,9,9,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
B2-149,965,7.6,7.6,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
B5-139,985,8,8,Ar/Ar,Cooling,,Hornblende,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
D1-190,909,7,7,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
B12-415,916,7.2,7.2,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
B2-149,898,7.1,7.1,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
G4-22,905,6.1,6.1,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,44.84,-78.31,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
G16-25,955,6.9,6.9,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."
B2-149,807.3,6.5,6.5,Ar/Ar,Cooling,,K-Feldspar,Ar Furnace-Step,Direct,Grenville Province,ON,,,Central Metasedimentary Belt,"Central Metasedimentary Belt, Bancroft Terrane",Metamorphic,,"Berger, G. W., & York, D. (1981). Geothermometry from 40Ar39Ar dating experiments. Geochimica et Cosmochimica Acta, 45(6), 795-811."