Sample_No,Age,Error_Plus,Error_Minus,Age_Method,Age_Interpretation,Age_Note,Age_Material,Age_Technique,Age_Qualifier,Geological_Province,Province,Latitude,Longitude,Location,Geological_Info,Rock_Type,Rock_Description,References,min_effective_radius,max_effective_radius
2033-D,992.4,3.6,3.6,U/Pb,Metamorphic,,Zircon,TIMS,Direct,Grenville Province,ON,47.53623,-70.42846,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",38,42
2006-C2,1053.6,1.3,1.3,U/Pb,Metamorphic,,Zircon,TIMS,Direct,Grenville Province,ON,47.54216,-70.56589,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,Anorthosite,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",35,85
2042-A,1046.2,1.55,1.55,U/Pb,Metamorphic,,Zircon,TIMS,Direct,Grenville Province,ON,47.63904,-70.60647,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,Leuconorite,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",30,125
2043-A,1055,1.2,1.2,U/Pb,Metamorphic,,Zircon,TIMS,Direct,Grenville Province,ON,47.67147,-70.60452,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,Anorthosite,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",25,70
2020,1057.4,0.75,0.75,U/Pb,Metamorphic,,Zircon,TIMS,Direct,Grenville Province,ON,47.70893,-70.66931,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,Oxide-apatite gabbronorite,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",20,160
2023,1060.8,1.4,1.4,U/Pb,Metamorphic,,Zircon,TIMS,Direct,Grenville Province,ON,47.41849,-70.74927,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,orthopyroxene-granodiorite,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",30,75
2006-G1,908.3,0.55,0.55,U/Pb,Cooling,,Rutile,TIMS,Direct,Grenville Province,ON,47.53964,-70.56791,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",50,100
2015-B4,903,5.5,5.5,U/Pb,Cooling,,Rutile,TIMS,Direct,Grenville Province,ON,47.53536,-70.55539,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",150,200
2030-B2,914.1,1.5,1.5,U/Pb,Cooling,,Rutile,TIMS,Direct,Grenville Province,ON,47.53712,-70.55521,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",50,100
2033-D,941,19.5,19.5,U/Pb,Cooling,,Rutile,TIMS,Direct,Grenville Province,ON,47.5345,-70.56128,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,Seminaire deposite,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",50,100
2006-B4,931.3,2.4,2.4,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,47.49475,-70.56529,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",1000,2500
2006-C4,886.7,2.7,2.7,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,47.54216,-70.56689,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",3000,3000
2015-A4,892.2,2.35,2.35,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,47.53537,-70.55482,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",500,1000
2033-A2,900.4,2.4,2.4,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,47.53457,-70.56115,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",3000,3000
2033-D,885.8,2.3,2.3,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,47.53623,-70.42846,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",700,850
2036-B1B,875.7,2.25,2.25,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,47.54501,-70.55316,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",450,700
2015-A4,884.4,2.7,2.7,Ar/Ar,Cooling,,Plagioclase,Ar Furnace-Step,Direct,Grenville Province,ON,47.53537,-70.55482,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",100,500
2033-D,860.3,4.15,4.15,Ar/Ar,Cooling,,Plagioclase,Ar Furnace-Step,Direct,Grenville Province,ON,47.5345,-70.56128,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",250,500
2042-A,873.4,2.7,2.7,Ar/Ar,Cooling,,Plagioclase,Ar Furnace-Step,Direct,Grenville Province,ON,47.63904,-70.60647,St. Urbain anorthosite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",380,800
2102,1052.9,3.25,3.25,U/Pb,Metamorphic,,Zircon,TIMS,Direct,Grenville Province,ON,50.45247,-69.69689,Lac Allard anorthsoite,Habre-Saint-Pierre anorthosite,Plutonic,Big Island deposite,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",50,200
2114-B,1061.6,1.5,1.5,U/Pb,Metamorphic,,Zircon,TIMS,Direct,Grenville Province,ON,50.4508,-69.69812,Lac Allard anorthsoite,Habre-Saint-Pierre anorthosite,Plutonic,Anorthosite,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",70,145
2123-B,1057.4,2.85,2.85,U/Pb,Metamorphic,,Zircon,TIMS,Direct,Grenville Province,ON,50.45174,-69.70053,Lac Allard anorthsoite,Habre-Saint-Pierre anorthosite,Plutonic,Anorthosite,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",30,75
2132,1060.5,0.95,0.95,U/Pb,Metamorphic,,Zircon,TIMS,Direct,Grenville Province,ON,50.55331,-69.39478,Lac Allard anorthsoite,Habre-Saint-Pierre anorthosite,Plutonic,Anorthosite,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",45,55
2104-D,943,12.5,12.5,U/Pb,Cooling,,Rutile,TIMS,Direct,Grenville Province,ON,50.45247,-69.69661,Lac Allard anorthsoite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",50,100
2109-A,926,16,16,U/Pb,Cooling,,Rutile,TIMS,Direct,Grenville Province,ON,50.45262,-69.69519,Lac Allard anorthsoite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",50,100
2103-B3,952.4,4.15,4.15,Ar/Ar,Cooling,,Biotite,Ar Furnace-Step,Direct,Grenville Province,ON,50.45247,-69.69689,Lac Allard anorthsoite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",500,850
2103-B3,913,6,6,Ar/Ar,Cooling,,Plagioclase,Ar Furnace-Step,Direct,Grenville Province,ON,50.45247,-69.69689,Lac Allard anorthsoite,Habre-Saint-Pierre anorthosite,Plutonic,,"Morisset, C. E., Scoates, J. S., Weis, D., & Friedman, R. M. (2009). U–Pb and 40Ar/39Ar geochronology of the Saint-Urbain and Lac Allard (Havre-Saint-Pierre) anorthosites and their associated Fe–Ti oxide ores, Québec: Evidence for emplacement and slow cooling during the collisional Ottawan orogeny in the Grenville Province. Precambrian Research, 174(1-2), 95-116.",600,1250